Date,Statement

12/12/2006,The Federal Open Market Committee decided today to keep its target for the federal funds rate at 5-1/4 percent. Economic growth has slowed over the course of the year partly reflecting a substantial cooling of the housing market.  Although recent indicators have been mixed the economy seems likely to expand at a moderate pace on balance over coming quarters. Readings on core inflation have been elevated and the high level of resource utilization has the potential to sustain inflation pressures.  However inflation pressures seem likely to moderate over time reflecting reduced impetus from energy prices contained inflation expectations and the cumulative effects of monetary policy actions and other factors restraining aggregate demand. Nonetheless the Committee judges that some inflation risks remain.  The extent and timing of any additional firming that may be needed to address these risks will depend on the evolution of the outlook for both inflation and economic growth as implied by incoming information.   Voting against was Jeffrey M.  Lacker who preferred an increase of 25 basis points in the federal funds rate target at this meeting. 

31/01/2007,The Federal Open Market Committee decided today to keep its target for the federal funds rate at 5-1/4 percent.  Recent indicators have suggested somewhat firmer economic growth and some tentative signs of stabilization have appeared in the housing market.  Overall the economy seems likely to expand at a moderate pace over coming quarters.  Readings on core inflation have improved modestly in recent months and inflation pressures seem likely to moderate over time.  However the high level of resource utilization has the potential to sustain inflation pressures.  The Committee judges that some inflation risks remain.  The extent and timing of any additional firming that may be needed to address these risks will depend on the evolution of the outlook for both inflation and economic growth as implied by incoming information.   

21/03/2007,The Federal Open Market Committee decided today to keep its target for the federal funds rate at 5-1/4 percent. Recent indicators have been mixed and the adjustment in the housing sector is ongoing.  Nevertheless the economy seems likely to continue to expand at a moderate pace over coming quarters.  Recent readings on core inflation have been somewhat elevated.  Although inflation pressures seem likely to moderate over time the high level of resource utilization has the potential to sustain those pressures. In these circumstances the Committee's predominant policy concern remains the risk that inflation will fail to moderate as expected.  Future policy adjustments will depend on the evolution of the outlook for both inflation and economic growth as implied by incoming information.  

09/05/2007,The Federal Open Market Committee decided today to keep its target for the federal funds rate at 5-1/4 percent.  Economic growth slowed in the first part of this year and the adjustment in the housing sector is ongoing.  Nevertheless the economy seems likely to expand at a moderate pace over coming quarters.  Core inflation remains somewhat elevated.  Although inflation pressures seem likely to moderate over time the high level of resource utilization has the potential to sustain those pressures.  In these circumstances the Committee's predominant policy concern remains the risk that inflation will fail to moderate as expected.  Future policy adjustments will depend on the evolution of the outlook for both inflation and economic growth as implied by incoming information.  

28/06/2007,The Federal Open Market Committee decided today to keep its target for the federal funds rate at 5-1/4 percent.  Economic growth appears to have been moderate during the first half of this year despite the ongoing adjustment in the housing sector.  The economy seems likely to continue to expand at a moderate pace over coming quarters. Readings on core inflation have improved modestly in recent months.  However a sustained moderation in inflation pressures has yet to be convincingly demonstrated.  Moreover the high level of resource utilization has the potential to sustain those pressures. In these circumstances the Committee's predominant policy concern remains the risk that inflation will fail to moderate as expected.  Future policy adjustments will depend on the evolution of the outlook for both inflation and economic growth as implied by incoming information. 

07/08/2007,The Federal Open Market Committee decided today to keep its target for the federal funds rate at 5-1/4 percent. Economic growth was moderate during the first half of the year.  Financial markets have been volatile in recent weeks credit conditions have become tighter for some households and businesses and the housing correction is ongoing.  Nevertheless the economy seems likely to continue to expand at a moderate pace over coming quarters supported by solid growth in employment and incomes and a robust global economy. Readings on core inflation have improved modestly in recent months.  However a sustained moderation in inflation pressures has yet to be convincingly demonstrated.  Moreover the high level of resource utilization has the potential to sustain those pressures. Although the downside risks to growth have increased somewhat the Committee's predominant policy concern remains the risk that inflation will fail to moderate as expected.  Future policy adjustments will depend on the outlook for both inflation and economic growth as implied by incoming information.  

10/08/2007,The Federal Reserve is providing liquidity to facilitate the orderly functioning of financial markets. The Federal Reserve will provide reserves as necessary through open market operations to promote trading in the federal funds market at rates close to the Federal Open Market Committee's target rate of 5-1/4 percent.  In current circumstances depository institutions may experience unusual funding needs because of dislocations in money and credit markets.  As always the discount window is available as a source of funding. 

17/08/2007,Financial market conditions have deteriorated and tighter credit conditions and increased uncertainty have the potential to restrain economic growth going forward.  In these circumstances although recent data suggest that the economy has continued to expand at a moderate pace the Federal Open Market Committee judges that the downside risks to growth have increased appreciably.  The Committee is monitoring the situation and is prepared to act as needed to mitigate the adverse effects on the economy arising from the disruptions in financial markets.  

18/09/2007,The Federal Open Market Committee decided today to lower its target for the federal funds rate 50 basis points to 4-3/4 percent. Economic growth was moderate during the first half of the year but the tightening of credit conditions has the potential to intensify the housing correction and to restrain economic growth more generally.  Todays action is intended to help forestall some of the adverse effects on the broader economy that might otherwise arise from the disruptions in financial markets and to promote moderate growth over time.  Readings on core inflation have improved modestly this year.  However the Committee judges that some inflation risks remain and it will continue to monitor inflation developments carefully.  Developments in financial markets since the Committees last regular meeting have increased the uncertainty surrounding the economic outlook.  The Committee will continue to assess the effects of these and other developments on economic prospects and will act as needed to foster price stability and sustainable economic growth.   In a related action the Board of Governors unanimously approved a 50-basis-point decrease in the discount rate to 5-1/4 percent.  In taking this action the Board approved the requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston New York Cleveland St.  Louis Minneapolis Kansas City and San Francisco. 

31/10/2007,The Federal Open Market Committee decided today to lower its target for the federal funds rate 25 basis points to 4-1/2 percent. Economic growth was solid in the third quarter and strains in financial markets have eased somewhat on balance.  However the pace of economic expansion will likely slow in the near term partly reflecting the intensification of the housing correction.  Todays action combined with the policy action taken in September should help forestall some of the adverse effects on the broader economy that might otherwise arise from the disruptions in financial markets and promote moderate growth over time. Readings on core inflation have improved modestly this year but recent increases in energy and commodity prices among other factors may put renewed upward pressure on inflation.  In this context the Committee judges that some inflation risks remain and it will continue to monitor inflation developments carefully. The Committee judges that after this action the upside risks to inflation roughly balance the downside risks to growth.  The Committee will continue to assess the effects of financial and other developments on economic prospects and will act as needed to foster price stability and sustainable economic growth.   Voting against was Thomas M.  Hoenig who preferred no change in the federal funds rate at this meeting. In a related action the Board of Governors unanimously approved a 25-basis-point decrease in the discount rate to 5 percent.  In taking this action the Board approved the requests submitted by the Boards of Directors of the Federal Reserve Banks of New York Richmond Atlanta Chicago St.  Louis and San Francisco. 

11/12/2007,The Federal Open Market Committee decided today to lower its target for the federal funds rate 25 basis points to 4-1/4 percent. Incoming information suggests that economic growth is slowing reflecting the intensification of the housing correction and some softening in business and consumer spending.  Moreover strains in financial markets have increased in recent weeks.  Todays action combined with the policy actions taken earlier should help promote moderate growth over time.  Readings on core inflation have improved modestly this year but elevated energy and commodity prices among other factors may put upward pressure on inflation.  In this context the Committee judges that some inflation risks remain and it will continue to monitor inflation developments carefully. Recent developments including the deterioration in financial market conditions have increased the uncertainty surrounding the outlook for economic growth and inflation.  The Committee will continue to assess the effects of financial and other developments on economic prospects and will act as needed to foster price stability and sustainable economic growth.   Voting against was Eric S.  Rosengren who preferred to lower the target for the federal funds rate by 50 basis points at this meeting. In a related action the Board of Governors unanimously approved a 25-basis-point decrease in the discount rate to 4-3/4 percent.  In taking this action the Board approved the requests submitted by the Boards of Directors of the Federal Reserve Banks of New York Philadelphia Cleveland Richmond Atlanta Chicago and St.  Louis. 

22/01/2008,The Federal Open Market Committee has decided to lower its target for the federal funds rate 75 basis points to 3-1/2 percent. The Committee took this action in view of a weakening of the economic outlook and increasing downside risks to growth.  While strains in short-term funding markets have eased somewhat broader financial market conditions have continued to deteriorate and credit has tightened further for some businesses and households.  Moreover incoming information indicates a deepening of the housing contraction as well as some softening in labor markets. The Committee expects inflation to moderate in coming quarters but it will be necessary to continue to monitor inflation developments carefully. Appreciable downside risks to growth remain.  The Committee will continue to assess the effects of financial and other developments on economic prospects and will act in a timely manner as needed to address those risks.   Voting against was  Poole who did not believe that current conditions justified policy action before the regularly scheduled meeting next week.  Absent and not voting was Frederic S.  Mishkin. In a related action the Board of Governors approved a 75-basis-point decrease in the discount rate to 4 percent.  In taking this action the Board approved the requests submitted by the Boards of Directors of the Federal Reserve Banks of Chicago and Minneapolis. 

30/01/2008,The Federal Open Market Committee decided today to lower its target for the federal funds rate 50 basis points to 3 percent. Financial markets remain under considerable stress and credit has tightened further for some businesses and households.  Moreover recent information indicates a deepening of the housing contraction as well as some softening in labor markets. The Committee expects inflation to moderate in coming quarters but it will be necessary to continue to monitor inflation developments carefully. Todays policy action combined with those taken earlier should help to promote moderate growth over time and to mitigate the risks to economic activity.  However downside risks to growth remain.  The Committee will continue to assess the effects of financial and other developments on economic prospects and will act in a timely manner as needed to address those risks.   Voting against was Richard W.  Fisher who preferred no change in the target for the federal funds rate at this meeting.  In a related action the Board of Governors unanimously approved a 50-basis-point decrease in the discount rate to 3-1/2 percent.  In taking this action the Board approved the requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston New York Philadelphia Cleveland Atlanta Chicago St.  Louis Kansas City and San Francisco. 

11/03/2008,"
Since the coordinated actions taken in December 2007 the G-10 central banks have continued to work together closely and to consult regularly on liquidity pressures in funding markets.  Pressures in some of these markets have recently increased again.  We all continue to work together and will take appropriate steps to address those liquidity pressures.  To that end today the Bank of Canada the Bank of England the European Central Bank the Federal Reserve and the Swiss National Bank are announcing specific measures. 
The Federal Reserve announced today an expansion of its securities lending program.  Under this new Term Securities Lending Facility (TSLF) the Federal Reserve will lend up to $200 billion of Treasury securities to primary dealers secured for a term of 28 days (rather than overnight as in the existing program) by a pledge of other securities including federal agency debt federal agency residential-mortgage-backed securities (MBS) and non-agency AAA/Aaa-rated private-label residential MBS.  The TSLF is intended to promote liquidity in the financing markets for Treasury and other collateral and thus to foster the functioning of financial markets more generally.  As is the case with the current securities lending program securities will be made available through an auction process.  Auctions will be held on a weekly basis beginning on March 27 2008.  The Federal Reserve will consult with primary dealers on technical design features of the TSLF. 
In addition the Federal Open Market Committee has authorized increases in its existing temporary reciprocal currency arrangements (swap lines) with the European Central Bank (ECB) and the Swiss National Bank (SNB).  These arrangements will now provide dollars in amounts of up to $30 billion and $6 billion to the ECB and the SNB respectively representing increases of $10 billion and $2 billion.  The FOMC extended the term of these swap lines through September 30 2008. The actions announced today supplement the measures announced by the Federal Reserve on Friday to boost the size of the Term Auction Facility to $100 billion and to undertake a series of term repurchase transactions that will cumulate to $100 billion. 
Information on the actions that will be taken by other central banks is available at the following websites:     "

18/03/2008,The Federal Open Market Committee decided today to lower its target for the federal funds rate 75 basis points to 2-1/4 percent. Recent information indicates that the outlook for economic activity has weakened further.  Growth in consumer spending has slowed and labor markets have softened.  Financial markets remain under considerable stress and the tightening of credit conditions and the deepening of the housing contraction are likely to weigh on economic growth over the next few quarters. Inflation has been elevated and some indicators of inflation expectations have risen.  The Committee expects inflation to moderate in coming quarters reflecting a projected leveling-out of energy and other commodity prices and an easing of pressures on resource utilization.  Still uncertainty about the inflation outlook has increased.  It will be necessary to continue to monitor inflation developments carefully. Todays policy action combined with those taken earlier including measures to foster market liquidity should help to promote moderate growth over time and to mitigate the risks to economic activity.  However downside risks to growth remain.  The Committee will act in a timely manner as needed to promote sustainable economic growth and price stability. Voting against were Richard W.  Fisher and Charles I.  Plosser who preferred less aggressive action at this meeting.  In a related action the Board of Governors unanimously approved a 75-basis-point decrease in the discount rate to 2-1/2 percent.  In taking this action the Board approved the requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston New York and San Francisco. 

30/04/2008,The Federal Open Market Committee decided today to lower its target for the federal funds rate 25 basis points to 2 percent.  Recent information indicates that economic activity remains weak.  Household and business spending has been subdued and labor markets have softened further.  Financial markets remain under considerable stress and tight credit conditions and the deepening housing contraction are likely to weigh on economic growth over the next few quarters. Although readings on core inflation have improved somewhat energy and other commodity prices have increased and some indicators of inflation expectations have risen in recent months.  The Committee expects inflation to moderate in coming quarters reflecting a projected leveling-out of energy and other commodity prices and an easing of pressures on resource utilization.  Still uncertainty about the inflation outlook remains high.  It will be necessary to continue to monitor inflation developments carefully.  The substantial easing of monetary policy to date combined with ongoing measures to foster market liquidity should help to promote moderate growth over time and to mitigate risks to economic activity.  The Committee will continue to monitor economic and financial developments and will act as needed to promote sustainable economic growth and price stability.    Voting against were Richard W.  Fisher and Charles I.  Plosser who preferred no change in the target for the federal funds rate at this meeting. In a related action the Board of Governors unanimously approved a 25-basis-point decrease in the discount rate to 2-1/4 percent.  In taking this action the Board approved the requests submitted by the Boards of Directors of the Federal Reserve Banks of New York Cleveland Atlanta and San Francisco. 

25/06/2008,The Federal Open Market Committee decided today to keep its target for the federal funds rate at 2 percent. Recent information indicates that overall economic activity continues to expand partly reflecting some firming in household spending.  However labor markets have softened further and financial markets remain under considerable stress.  Tight credit conditions the ongoing housing contraction and the rise in energy prices are likely to weigh on economic growth over the next few quarters. The Committee expects inflation to moderate later this year and next year.  However in light of the continued increases in the prices of energy and some other commodities and the elevated state of some indicators of inflation expectations uncertainty about the inflation outlook remains high. The substantial easing of monetary policy to date combined with ongoing measures to foster market liquidity should help to promote moderate growth over time.  Although downside risks to growth remain they appear to have diminished somewhat and the upside risks to inflation and inflation expectations have increased.  The Committee will continue to monitor economic and financial developments and will act as needed to promote sustainable economic growth and price stability.   Voting against was Richard W.  Fisher who preferred an increase in the target for the federal funds rate at this meeting. 

05/08/2008,The Federal Open Market Committee decided today to keep its target for the federal funds rate at 2 percent. Economic activity expanded in the second quarter partly reflecting growth in consumer spending and exports.  However labor markets have softened further and financial markets remain under considerable stress.  Tight credit conditions the ongoing housing contraction and elevated energy prices are likely to weigh on economic growth over the next few quarters.  Over time the substantial easing of monetary policy combined with ongoing measures to foster market liquidity should help to promote moderate economic growth. Inflation has been high spurred by the earlier increases in the prices of energy and some other commodities and some indicators of inflation expectations have been elevated.  The Committee expects inflation to moderate later this year and next year but the inflation outlook remains highly uncertain. Although downside risks to growth remain the upside risks to inflation are also of significant concern to the Committee.  The Committee will continue to monitor economic and financial developments and will act as needed to promote sustainable economic growth and price stability.   Voting against was Richard W.  Fisher who preferred an increase in the target for the federal funds rate at this meeting. 

16/09/2008,The Federal Open Market Committee decided today to keep its target for the federal funds rate at 2 percent. Strains in financial markets have increased significantly and labor markets have weakened further.  Economic growth appears to have slowed recently partly reflecting a softening of household spending.  Tight credit conditions the ongoing housing contraction and some slowing in export growth are likely to weigh on economic growth over the next few quarters.  Over time the substantial easing of monetary policy combined with ongoing measures to foster market liquidity should help to promote moderate economic growth. Inflation has been high spurred by the earlier increases in the prices of energy and some other commodities.  The Committee expects inflation to moderate later this year and next year but the inflation outlook remains highly uncertain. The downside risks to growth and the upside risks to inflation are both of significant concern to the Committee.  The Committee will monitor economic and financial developments carefully and will act as needed to promote sustainable economic growth and price stability. 

08/10/2008," 
Throughout the current financial crisis central banks have engaged in continuous close consultation and have cooperated in unprecedented joint actions such as the provision of liquidity to reduce strains in financial markets. Inflationary pressures have started to moderate in a number of countries partly reflecting a marked decline in energy and other commodity prices. Inflation expectations are diminishing and remain anchored to price stability. The recent intensification of the financial crisis has augmented the downside risks to growth and thus has diminished further the upside risks to price stability.  Some easing of global monetary conditions is therefore warranted. Accordingly the Bank of Canada the Bank of England the European Central Bank the Federal Reserve Sveriges Riksbank and the Swiss National Bank are today announcing reductions in policy interest rates. The Bank of Japan expresses its strong support of these policy actions. The Federal Open Market Committee has decided to lower its target for the federal funds rate 50 basis points to 1-1/2 percent. The Committee took this action in light of evidence pointing to a weakening of economic activity and a reduction in inflationary pressures.  Incoming economic data suggest that the pace of economic activity has slowed markedly in recent months. Moreover the intensification of financial market turmoil is likely to exert additional restraint on spending partly by further reducing the ability of households and businesses to obtain credit. Inflation has been high but the Committee believes that the decline in energy and other commodity prices and the weaker prospects for economic activity have reduced the upside risks to inflation.  The Committee will monitor economic and financial developments carefully and will act as needed to promote sustainable economic growth and price stability.    In a related action the Board of Governors unanimously approved a 50-basis-point decrease in the discount rate to 1-3/4 percent.  In taking this action the Board approved the request submitted by the Board of Directors of the Federal Reserve Bank of Boston. Information on the actions that will be taken by other central banks is available at the following websites:   "

29/10/2008,The Federal Open Market Committee decided today to lower its target for the federal funds rate 50 basis points to 1 percent. The pace of economic activity appears to have slowed markedly owing importantly to a decline in consumer expenditures.  Business equipment spending and industrial production have weakened in recent months and slowing economic activity in many foreign economies is damping the prospects for U. S.  exports.  Moreover the intensification of financial market turmoil is likely to exert additional restraint on spending partly by further reducing the ability of households and businesses to obtain credit.  In light of the declines in the prices of energy and other commodities and the weaker prospects for economic activity the Committee expects inflation to moderate in coming quarters to levels consistent with price stability. Recent policy actions including todays rate reduction coordinated interest rate cuts by central banks extraordinary liquidity measures and official steps to strengthen financial systems should help over time to improve credit conditions and promote a return to moderate economic growth.  Nevertheless downside risks to growth remain.  The Committee will monitor economic and financial developments carefully and will act as needed to promote sustainable economic growth and price stability.   In a related action the Board of Governors unanimously approved a 50-basis-point decrease in the discount rate to 1-1/4 percent.  In taking this action the Board approved the requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston New York Cleveland and San Francisco. 

16/12/2008,The Federal Open Market Committee decided today to establish a target range for the federal funds rate of 0 to 1/4 percent.  Since the Committee's last meeting labor market conditions have deteriorated and the available data indicate that consumer spending business investment and industrial production have declined.  Financial markets remain quite strained and credit conditions tight.  Overall the outlook for economic activity has weakened further. Meanwhile inflationary pressures have diminished appreciably.  In light of the declines in the prices of energy and other commodities and the weaker prospects for economic activity the Committee expects inflation to moderate further in coming quarters. The Federal Reserve will employ all available tools to promote the resumption of sustainable economic growth and to preserve price stability.  In particular the Committee anticipates that weak economic conditions are likely to warrant exceptionally low levels of the federal funds rate for some time.  The focus of the Committee's policy going forward will be to support the functioning of financial markets and stimulate the economy through open market operations and other measures that sustain the size of the Federal Reserve's balance sheet at a high level.  As previously announced over the next few quarters the Federal Reserve will purchase large quantities of agency debt and mortgage-backed securities to provide support to the mortgage and housing markets and it stands ready to expand its purchases of agency debt and mortgage-backed securities as conditions warrant.  The Committee is also evaluating the potential benefits of purchasing longer-term Treasury securities.  Early next year the Federal Reserve will also implement the Term Asset-Backed Securities Loan Facility to facilitate the extension of credit to households and small businesses.  The Federal Reserve will continue to consider ways of using its balance sheet to further support credit markets and economic activity.  In a related action the Board of Governors unanimously approved a 75-basis-point decrease in the discount rate to 1/2 percent.  In taking this action the Board approved the requests submitted by the Boards of Directors of the Federal Reserve Banks of New York Cleveland Richmond Atlanta Minneapolis and San Francisco.  The Board also established interest rates on required and excess reserve balances of 1/4percent.  

28/01/2009,The Federal Open Market Committee decided today to keep its target range for the federal funds rate at 0 to 1/4 percent. The Committee continues to anticipate that economic conditions are likely to warrant exceptionally low levels of the federal funds rate for some time. Information received since the Committee met in December suggests that the economy has weakened further. Industrial production housing starts and employment have continued to decline steeply as consumers and businesses have cut back spending. Furthermore global demand appears to be slowing significantly. Conditions in some financial markets have improved in part reflecting government efforts to provide liquidity and strengthen financial institutions; nevertheless credit conditions for households and firms remain extremely tight. The Committee anticipates that a gradual recovery in economic activity will begin later this year but the downside risks to that outlook are significant. In light of the declines in the prices of energy and other commodities in recent months and the prospects for considerable economic slack the Committee expects that inflation pressures will remain subdued in coming quarters. Moreover the Committee sees some risk that inflation could persist for a time below rates that best foster economic growth and price stability in the longer term. The Federal Reserve will employ all available tools to promote the resumption of sustainable economic growth and to preserve price stability. The focus of the Committee's policy is to support the functioning of financial markets and stimulate the economy through open market operations and other measures that are likely to keep the size of the Federal Reserve's balance sheet at a high level. The Federal Reserve continues to purchase large quantities of agency debt and mortgage-backed securities to provide support to the mortgage and housing markets and it stands ready to expand the quantity of such purchases and the duration of the purchase program as conditions warrant. The Committee also is prepared to purchase longer-term Treasury securities if evolving circumstances indicate that such transactions would be particularly effective in improving conditions in private credit markets. The Federal Reserve will be implementing the Term Asset-Backed Securities Loan Facility to facilitate the extension of credit to households and small businesses. The Committee will continue to monitor carefully the size and composition of the Federal Reserve's balance sheet in light of evolving financial market developments and to assess whether expansions of or modifications to lending facilities would serve to further support credit markets and economic activity and help to preserve price stability.  Voting against was Jeffrey M.  Lacker who preferred to expand the monetary base at this time by purchasing U. S.  Treasury securities rather than through targeted credit programs. 

18/03/2009,Information received since the Federal Open Market Committee met in January indicates that the economy continues to contract.  Job losses declining equity and housing wealth and tight credit conditions have weighed on consumer sentiment and spending.  Weaker sales prospects and difficulties in obtaining credit have led businesses to cut back on inventories and fixed investment.  U. S.  exports have slumped as a number of major trading partners have also fallen into recession.  Although the near-term economic outlook is weak the Committee anticipates that policy actions to stabilize financial markets and institutions together with fiscal and monetary stimulus will contribute to a gradual resumption of sustainable economic growth. In light of increasing economic slack here and abroad the Committee expects that inflation will remain subdued.  Moreover the Committee sees some risk that inflation could persist for a time below rates that best foster economic growth and price stability in the longer term. In these circumstances the Federal Reserve will employ all available tools to promote economic recovery and to preserve price stability.  The Committee will maintain the target range for the federal funds rate at 0 to 1/4 percent and anticipates that economic conditions are likely to warrant exceptionally low levels of the federal funds rate for an extended period.  To provide greater support to mortgage lending and housing markets the Committee decided today to increase the size of the Federal Reserves balance sheet further by purchasing up to an additional $750 billion of agency mortgage-backed securities bringing its total purchases of these securities to up to $1. 25 trillion this year and to increase its purchases of agency debt this year by up to $100 billion to a total of up to $200 billion.  Moreover to help improve conditions in private credit markets the Committee decided to purchase up to $300 billion of longer-term Treasury securities over the next six months.  The Federal Reserve has launched the Term Asset-Backed Securities Loan Facility to facilitate the extension of credit to households and small businesses and anticipates that the range of eligible collateral for this facility is likely to be expanded to include other financial assets.  The Committee will continue to carefully monitor the size and composition of the Federal Reserve's balance sheet in light of evolving financial and economic developments.  

29/04/2009,Information received since the Federal Open Market Committee met in March indicates that the economy has continued to contract though the pace of contraction appears to be somewhat slower.  Household spending has shown signs of stabilizing but remains constrained by ongoing job losses lower housing wealth and tight credit.  Weak sales prospects and difficulties in obtaining credit have led businesses to cut back on inventories fixed investment and staffing.  Although the economic outlook has improved modestly since the March meeting partly reflecting some easing of financial market conditions economic activity is likely to remain weak for a time.  Nonetheless the Committee continues to anticipate that policy actions to stabilize financial markets and institutions fiscal and monetary stimulus and market forces will contribute to a gradual resumption of sustainable economic growth in a context of price stability. In light of increasing economic slack here and abroad the Committee expects that inflation will remain subdued.  Moreover the Committee sees some risk that inflation could persist for a time below rates that best foster economic growth and price stability in the longer term. In these circumstances the Federal Reserve will employ all available tools to promote economic recovery and to preserve price stability.  The Committee will maintain the target range for the federal funds rate at 0 to 1/4 percent and anticipates that economic conditions are likely to warrant exceptionally low levels of the federal funds rate for an extended period.  As previously announced to provide support to mortgage lending and housing markets and to improve overall conditions in private credit markets the Federal Reserve will purchase a total of up to $1. 25 trillion of agency mortgage-backed securities and up to $200 billion of agency debt by the end of the year.  In addition the Federal Reserve will buy up to $300 billion of Treasury securities by autumn.  The Committee will continue to evaluate the timing and overall amounts of its purchases of securities in light of the evolving economic outlook and conditions in financial markets.  The Federal Reserve is facilitating the extension of credit to households and businesses and supporting the functioning of financial markets through a range of liquidity programs.  The Committee will continue to carefully monitor the size and composition of the Federal Reserve's balance sheet in light of financial and economic developments.  

24/06/2009,Information received since the Federal Open Market Committee met in April suggests that the pace of economic contraction is slowing.  Conditions in financial markets have generally improved in recent months.  Household spending has shown further signs of stabilizing but remains constrained by ongoing job losses lower housing wealth and tight credit.  Businesses are cutting back on fixed investment and staffing but appear to be making progress in bringing inventory stocks into better alignment with sales.  Although economic activity is likely to remain weak for a time the Committee continues to anticipate that policy actions to stabilize financial markets and institutions fiscal and monetary stimulus and market forces will contribute to a gradual resumption of sustainable economic growth in a context of price stability. The prices of energy and other commodities have risen of late.  However substantial resource slack is likely to dampen cost pressures and the Committee expects that inflation will remain subdued for some time. In these circumstances the Federal Reserve will employ all available tools to promote economic recovery and to preserve price stability.  The Committee will maintain the target range for the federal funds rate at 0 to 1/4 percent and continues to anticipate that economic conditions are likely to warrant exceptionally low levels of the federal funds rate for an extended period.  As previously announced to provide support to mortgage lending and housing markets and to improve overall conditions in private credit markets the Federal Reserve will purchase a total of up to $1. 25 trillion of agency mortgage-backed securities and up to $200 billion of agency debt by the end of the year.  In addition the Federal Reserve will buy up to $300 billion of Treasury securities by autumn.  The Committee will continue to evaluate the timing and overall amounts of its purchases of securities in light of the evolving economic outlook and conditions in financial markets.  The Federal Reserve is monitoring the size and composition of its balance sheet and will make adjustments to its credit and liquidity programs as warranted. 

12/08/2009,Information received since the Federal Open Market Committee met in June suggests that economic activity is leveling out.  Conditions in financial markets have improved further in recent weeks.  Household spending has continued to show signs of stabilizing but remains constrained by ongoing job losses sluggish income growth lower housing wealth and tight credit.  Businesses are still cutting back on fixed investment and staffing but are making progress in bringing inventory stocks into better alignment with sales.  Although economic activity is likely to remain weak for a time the Committee continues to anticipate that policy actions to stabilize financial markets and institutions fiscal and monetary stimulus and market forces will contribute to a gradual resumption of sustainable economic growth in a context of price stability.  The prices of energy and other commodities have risen of late.  However substantial resource slack is likely to dampen cost pressures and the Committee expects that inflation will remain subdued for some time. In these circumstances the Federal Reserve will employ all available tools to promote economic recovery and to preserve price stability.  The Committee will maintain the target range for the federal funds rate at 0 to 1/4 percent and continues to anticipate that economic conditions are likely to warrant exceptionally low levels of the federal funds rate for an extended period.  As previously announced to provide support to mortgage lending and housing markets and to improve overall conditions in private credit markets the Federal Reserve will purchase a total of up to $1. 25 trillion of agency mortgage-backed securities and up to $200 billion of agency debt by the end of the year.  In addition the Federal Reserve is in the process of buying $300 billion of Treasury securities.  To promote a smooth transition in markets as these purchases of Treasury securities are completed the Committee has decided to gradually slow the pace of these transactions and anticipates that the full amount will be purchased by the end of October.  The Committee will continue to evaluate the timing and overall amounts of its purchases of securities in light of the evolving economic outlook and conditions in financial markets.  The Federal Reserve is monitoring the size and composition of its balance sheet and will make adjustments to its credit and liquidity programs as warranted.   

23/09/2009,Information received since the Federal Open Market Committee met in August suggests that economic activity has picked up following its severe downturn.  Conditions in financial markets have improved further and activity in the housing sector has increased.  Household spending seems to be stabilizing but remains constrained by ongoing job losses sluggish income growth lower housing wealth and tight credit.  Businesses are still cutting back on fixed investment and staffing though at a slower pace; they continue to make progress in bringing inventory stocks into better alignment with sales.  Although economic activity is likely to remain weak for a time the Committee anticipates that policy actions to stabilize financial markets and institutions fiscal and monetary stimulus and market forces will support a strengthening of economic growth and a gradual return to higher levels of resource utilization in a context of price stability. With substantial resource slack likely to continue to dampen cost pressures and with longer-term inflation expectations stable the Committee expects that inflation will remain subdued for some time. In these circumstances the Federal Reserve will continue to employ a wide range of tools to promote economic recovery and to preserve price stability.  The Committee will maintain the target range for the federal funds rate at 0 to 1/4 percent and continues to anticipate that economic conditions are likely to warrant exceptionally low levels of the federal funds rate for an extended period.  To provide support to mortgage lending and housing markets and to improve overall conditions in private credit markets the Federal Reserve will purchase a total of $1. 25trillion of agency mortgage-backed securities and up to $200 billion of agency debt.  The Committee will gradually slow the pace of these purchases in order to promote a smooth transition in markets and anticipates that they will be executed by the end of the first quarter of 2010.  As previously announced the Federal Reserves purchases of $300billion of Treasury securities will be completed by the end of October 2009.  The Committee will continue to evaluate the timing and overall amounts of its purchases of securities in light of the evolving economic outlook and conditions in financial markets.  The Federal Reserve is monitoring the size and composition of its balance sheet and will make adjustments to its credit and liquidity programs as warranted.  
